Id,TagName,Count,ExcerptPostId,WikiPostId,IsModeratorOnly,IsRequired
"1","battery","1428","56974","56973","",""
"2","notification","852","60037","60036","",""
"4","software-center","2630","23972","23971","",""
"6","upgrade","8275","31700","31699","",""
"7","live-cd","722","33366","33365","",""
"8","server","14115","31533","31532","",""
"9","ssh","5289","31545","31544","",""
"10","vnc","939","57694","57693","",""
"11","community","163","29705","29704","",""
"14","xfce","1792","75622","75621","",""
"15","remote-desktop","1001","60035","60034","",""
"16","updates","5963","33123","33122","",""
"19","flash","1315","31746","31745","",""
"20","64-bit","1949","31564","31563","",""
"22","update-manager","1631","33091","33090","",""
"23","xrandr","767","58912","58911","",""
"25","displaylink","123","7297","7296","",""
"26","mouse","3203","31733","31732","",""
"29","filesystem","2501","26231","26230","",""
"30","installation","6760","27945","27944","",""
"31","10.04","1937","3572","3464","",""
"32","panel","707","33104","33103","",""
"33","applet","200","57685","57684","",""
"35","lts","813","72724","72723","",""
"38","lamp","773","57713","57712","",""
"39","mysql","2671","48139","48138","",""
"40","php","2384","48592","48591","",""
"42","performance","1317","31750","31749","",""
"43","encryption","2276","31770","31769","",""
"44","email","1163","33100","33099","",""
"46","mta","21","","","",""
"47","cleanup","144","390541","390540","",""
"48","kate","106","73268","73267","",""
"49","touchpad","2822","31776","31775","",""
"50","gnome","9517","5023","5022","",""
"51","libnotify","40","","","",""
"52","session","339","120236","120235","",""
"53","wallpaper","685","17418","17417","",""
"54","artwork","6","","","",""
"55","photography","26","","","",""
"56","ldap","233","76727","76726","",""
"57","nfs","551","57708","57707","",""
"58","gui","1628","33344","33343","",""
"59","indicator","1318","12538","12537","",""
"60","clock","221","390283","390282","",""
"61","empathy","358","28821","28820","",""
"62","startup","1611","17439","17438","",""
"63","8.04","62","49333","49332","",""
"65","vim","752","12201","12200","",""
"66","colors","550","390551","390550","",""
"67","sync","836","31744","31743","",""
"68","configuration","1477","31526","31525","",""
"69","user-data","38","","","",""
"70","multiple-workstations","19","","","",""
"71","kde","2638","33088","33087","",""
"72","package-management","8970","31513","31512","",""
"74","aptitude","370","49329","49328","",""
"75","synaptic","449","36134","36133","",""
"76","gmail","263","74581","74580","",""
"78","compatibility","406","139849","139848","",""
"80","permissions","6528","32701","32700","",""
"81","mac","1204","17470","17469","",""
"82","live-usb","2572","38266","38265","",""
"83","multimedia","246","82673","82672","",""
"87","sound","8072","31519","31518","",""
"88","equalizer","41","","","",""
"90","rvm","83","130613","130612","",""
"91","ruby","456","76715","76714","",""
"93","uninstall","2130","48578","48577","",""
"94","haskell","46","302714","302713","",""
"97","headphones","977","76251","76250","",""
"98","speakers","330","423233","423232","",""
"101","launchpad","465","33338","33337","",""
"102","iptables","1110","76578","76577","",""
"103","security","2210","11220","11219","",""
"104","ipv6","326","67830","67829","",""
"106","support","140","185005","185004","",""
"107","themes","2296","31758","31757","",""
"108","icons","2379","59283","59282","",""
"109","pointers","21","","","",""
"110","appearance","224","139853","139852","",""
"113","format","633","74590","74589","",""
"115","testing","91","61754","61753","",""
"116","tablet","471","100151","100150","",""
"118","multi-touch","476","78920","78919","",""
"119","hardware","1483","31515","31514","",""
"122","editor","128","164403","164402","",""
"123","gedit","867","48137","48136","",""
"124","text","334","253989","253988","",""
"125","mail","359","161812","161811","",""
"126","imap","88","191111","191110","",""
"127","xubuntu","4964","48596","48595","",""
"128","cloud","586","81520","81519","",""
"129","uec","13","129531","129530","",""
"131","presentation","69","","","",""
"132","python","4547","17476","17475","",""
"133","packaging","665","22680","22679","",""
"135","mono","324","72530","72529","",""
"140","command-line","19868","14525","14524","",""
"141","dvd","778","58615","58614","",""
"143","itunes","95","76759","76758","",""
"144","gdm","727","17473","17472","",""
"145","login-screen","1205","33356","33355","",""
"148","video","2689","31524","31523","",""
"149","video-player","236","77828","77827","",""
"150","reboot","874","78922","78921","",""
"155","dock","312","74586","74585","",""
"158","init.d","248","92668","92667","",""
"160","license","118","75254","75253","",""
"162","gpl","9","123779","123778","",""
"163","apt","14609","27880","27879","",""
"165","firefox","3818","17413","17412","",""
"166","extension","182","72730","72729","",""
"167","time","527","139846","139845","",""
"169","adblock","17","127034","127033","",""
"172","display","3347","31772","31771","",""
"173","dpi","79","","","",""
"174","partitioning","12237","31702","31701","",""
"175","boot","21127","31517","31516","",""
"178","grub2","11742","45185","45184","",""
"179","iphone","298","77095","77094","",""
"180","music","699","33096","33095","",""
"181","upnp","53","61332","61331","",""
"182","mythtv","120","75175","75174","",""
"183","ssd","2115","48070","48069","",""
"184","trim","101","186769","186768","",""
"185","default","369","76329","76328","",""
"187","versions","488","212238","212237","",""
"189","patch","162","221415","221414","",""
"190","resume","107","","","",""
"191","suspend-resume","49","","","",""
"192","dual-boot","16206","17464","17463","",""
"193","windows","4431","31538","31537","",""
"194","customization","711","59312","59311","",""
"196","nvidia","10518","31540","31539","",""
"198","dpkg","3577","33346","33345","",""
"199","xorg","4005","31720","31719","",""
"201","bash","9541","17416","17415","",""
"202","crontab","35","57715","57714","",""
"203","cron-jobs","23","","","",""
"204","gzip","124","85909","85908","",""
"205","media-manager","18","","","",""
"208","f-spot","8","76556","76555","",""
"209","shotwell","213","33524","33523","",""
"210","10.10","1866","4202","4201","",""
"211","ppa","1911","7400","7399","",""
"213","voip","86","76695","76694","",""
"214","landscape","326","222448","222447","",""
"215","motu","13","76599","76598","",""
"217","youtube","578","74430","74429","",""
"219","dictionary","104","395122","395121","",""
"221","keyrings","217","272762","272761","",""
"222","migration","209","222710","222709","",""
"223","root","1553","49327","49326","",""
"224","user-space","24","183347","183346","",""
"227","alternative","135","248300","248299","",""
"229","workflow","13","","","",""
"233","metacity","126","51057","51056","",""
"234","window-buttons","129","76258","76257","",""
"237","special-characters","154","489352","489351","",""
"239","flicker","191","76211","76210","",""
"242","gems","7","","","",""
"243","remote-assistance","7","","","",""
"244","keyboard","5441","31704","31703","",""
"245","keyboard-layout","2088","33363","33362","",""
"250","umount","91","189191","189190","",""
"251","sudo","2531","33371","33370","",""
"252","ubufox","3","","","",""
"255","books","14","","","",""
"256","administration","194","120555","120554","",""
"257","ie","31","80376","80375","",""
"259","wine","3636","17448","17447","",""
"260","browser","727","59324","59323","",""
"263","virtualbox","5081","23023","23022","",""
"264","naming","12","","","",""
"266","thunderbird","1090","43421","43420","",""
"267","dependencies","2473","78916","78915","",""
"268","archive","268","51050","51049","",""
"271","evolution","555","31567","31566","",""
"272","shutdown","2131","17456","17455","",""
"274","acpi","551","60170","60169","",""
"276","ftp","712","72067","72066","",""
"277","nautilus","3960","23143","23142","",""
"279","backup","2322","31561","31560","",""
"280","usb-drive","1301","17478","17477","",""
"281","lvm","950","77091","77090","",""
"285","google-calendar","57","76761","76760","",""
"286","calendar","367","390279","390278","",""
"287","organizer","11","","","",""
"288","codecs","263","57701","57700","",""
"289","latex","440","76588","76587","",""
"290","text-editor","365","120550","120549","",""
"296","rootkit","55","262143","262142","",""
"298","fstab","1188","57649","57648","",""
"299","scripts","5917","33361","33360","",""
"301","input-devices","249","81516","81515","",""
"304","programming","548","31557","31556","",""
"305","troubleshooting","201","33342","33341","",""
"306","firmware","296","816625","816624","",""
"309","repository","1302","31780","31779","",""
"311","system","805","17458","17457","",""
"313","winetricks","240","191690","191689","",""
"317","fonts","1899","31555","31554","",""
"320","firewall","1041","76710","76709","",""
"324","debootstrap","71","492444","492443","",""
"326","gimp","559","31818","31817","",""
"328","ebooks","75","123506","123505","",""
"329","development","397","27943","27942","",""
"331","window-manager","780","17431","17430","",""
"334","windows-7","2450","31737","31736","",""
"335","vmware","1357","33388","33387","",""
"336","blog","9","","","",""
"338","guest-session","183","395104","395103","",""
"339","wubi","1278","31768","31767","",""
"342","banshee","426","33102","33101","",""
"346","unlock","60","","","",""
"347","input-language","272","","","",""
"348","shortcut-keys","4218","31729","31728","",""
"350","brainstorm","10","76495","76494","",""
"355","9.10","103","31755","31754","",""
"356","sharing","344","92574","92573","",""
"360","usb","7951","4390","4389","",""
"362","parental-controls","37","","","",""
"364","magic-mouse","34","","","",""
"365","ubuntu-one","1313","13718","13717","",""
"366","delete","627","77251","77250","",""
"367","mount","6227","31722","31721","",""
"368","resolution","939","48574","48573","",""
"369","samba","2367","31742","31741","",""
"372","lubuntu","4620","51048","51047","",""
"373","mythbuntu","133","75171","75170","",""
"382","single-sign-on","31","134909","134908","",""
"383","contributing","35","75261","75260","",""
"384","windicators","3","355132","355131","",""
"385","canonical","212","62275","62274","",""
"386","drag-and-drop","136","83594","83593","",""
"389","emacs","372","76281","76280","",""
"390","cpu-load","375","120238","120237","",""
"392","multiple-monitors","4126","31735","31734","",""
"393","usability","109","62277","62276","",""
