Id,TagName,Count,ExcerptPostId,WikiPostId,IsModeratorOnly,IsRequired
"1","bayesian","6480","20258","20257","",""
"2","prior","798","62158","62157","",""
"3","elicitation","10","","","",""
"5","open-source","16","","","",""
"6","distributions","7862","8046","8045","",""
"9","machine-learning","16550","9066","9065","",""
"10","dataset","1698","20490","20489","",""
"11","sample","858","28276","28275","",""
"12","population","433","69287","69286","",""
"15","measurement","286","66319","66318","",""
"16","scales","368","139243","139242","",""
"17","interpolation","227","64387","64386","",""
"18","multivariable","40","","","",""
"21","anova","4478","9251","9250","",""
"23","census","54","63450","63449","",""
"26","frequentist","378","87156","87155","",""
"27","density-function","1427","40526","40525","",""
"28","cumulative-distribution-function","629","40912","40911","",""
"30","time-series","11938","3017","3016","",""
"33","standard-deviation","1708","28218","28217","",""
"37","algorithms","845","21863","21862","",""
"38","hypothesis-testing","8189","3019","3018","",""
"39","p-value","2246","28336","28335","",""
"41","r","24912","2331","2254","",""
"44","poisson-distribution","1622","28212","28211","",""
"46","overdispersion","217","67696","67695","",""
"47","correlation","5313","8556","8555","",""
"48","teaching","187","158874","158873","",""
"50","logit","523","28194","28193","",""
"52","transportation","9","","","",""
"54","data-visualization","2666","20484","20483","",""
"55","clustering","3650","3015","3014","",""
"58","pattern-recognition","385","68772","68771","",""
"59","random-variable","1954","33480","33479","",""
"60","error","958","63555","63554","",""
"62","neural-networks","6530","50760","50759","",""
"72","nonparametric","1762","20492","20491","",""
"74","forecasting","3226","3190","3189","",""
"75","garch","733","62398","62397","",""
"76","volatility-forecasting","168","280521","280520","",""
"77","ordinal-data","909","38335","38334","",""
"79","signal-processing","293","38369","38368","",""
"85","multiple-comparisons","1505","9286","9285","",""
"86","statistical-power","1195","28979","28978","",""
"87","methodology","274","90673","90672","",""
"89","definition","429","129011","129010","",""
"93","k-nearest-neighbour","496","68858","68857","",""
"94","classification","5847","20262","20261","",""
"109","pca","2959","8579","8578","",""
"111","regression","23782","8172","8171","",""
"113","markov-chain-montecarlo","1332","28332","28331","",""
"117","polling","45","","","",""
"118","kde","22","21498","21497","",""
"120","count-data","781","38519","38518","",""
"121","epidemiology","374","26618","26617","",""
"122","outliers","1143","33482","33481","",""
"124","seasonality","660","79731","79730","",""
"125","contingency-tables","467","62173","62172","",""
"126","categorical-data","3037","28210","28209","",""
"127","data-mining","1166","19424","19423","",""
"128","fitting","697","139239","139238","",""
"129","t-test","2962","26938","26937","",""
"131","generalized-linear-model","3657","18402","18401","",""
"132","discrete-data","509","28977","28976","",""
"133","continuous-data","650","63580","63579","",""
"135","statistical-significance","5221","20260","20259","",""
"136","protovis","2","80769","80768","",""
"141","online-algorithms","201","22100","22099","",""
"144","finance","470","64646","64645","",""
"147","variance","3409","18602","18601","",""
"148","boosting","1067","67588","67587","",""
"152","application","84","280541","280540","",""
"157","random-effects-model","1218","35289","35288","",""
"158","sample-size","1528","50757","50756","",""
"159","estimation","2824","20488","20487","",""
"160","least-squares","2206","28226","28225","",""
"161","maximum-likelihood","2710","28329","28328","",""
"162","spatial","778","64717","64716","",""
"169","method-of-moments","154","62698","62697","",""
"170","beta-binomial-distribution","151","63188","63187","",""
"171","logarithm","506","123141","123140","",""
"176","binomial-distribution","1960","8944","8943","",""
"177","disease","30","","","",""
"179","entropy","575","68821","68820","",""
"182","unbalanced-classes","842","87259","87258","",""
"183","median","594","32759","32758","",""
"188","probability","9884","20256","20255","",""
"194","proof","193","158464","158463","",""
"196","information-retrieval","115","","","",""
"197","monitoring","11","","","",""
"200","mean","2319","31779","31778","",""
"201","uncertainty","398","68576","68575","",""
