Id,TagName,Count,ExcerptPostId,WikiPostId,IsModeratorOnly,IsRequired
"1","arduino","7549","10246","10245","",""
"3","motor","2750","21121","21120","",""
"5","msp","9","","","",""
"7","soldering","1268","10272","10271","",""
"8","windows","52","58327","58326","",""
"10","dc","2291","10734","10733","",""
"13","timer","907","34148","34147","",""
"14","vga","159","34680","34679","",""
"15","ethernet","869","18962","18961","",""
"17","twitter","2","","","",""
"18","power","5414","18616","18615","",""
"19","adapter","355","57445","57444","",""
"20","voltage","6254","20095","20094","",""
"24","pins","402","115775","115774","",""
"27","bluetooth","794","20122","20121","",""
"31","sleep","122","235855","235854","",""
"33","atmega","1142","18978","18977","",""
"35","avr","1750","10217","10216","",""
"36","programmer","219","35509","35508","",""
"38","generator","692","69097","69096","",""
"39","conductive","41","62176","62175","",""
"40","thread","18","","","",""
"42","capacitive","222","","","",""
"43","capacitance","734","58178","58177","",""
"44","sensor","2581","10270","10269","",""
"46","line","69","","","",""
"47","avrdude","146","35503","35502","",""
"48","serial","1197","20134","20133","",""
"51","dsp","340","10306","10305","",""
"52","audio","2588","20131","20130","",""
"54","lcd","791","10213","10212","",""
"55","sd","356","25807","25806","",""
"56","memory","709","19949","19948","",""
"58","servo","520","20111","20110","",""
"59","basic","478","81250","81249","",""
"61","pic","2560","10215","10214","",""
"62","microcontroller","7596","10219","10218","",""
"63","mac","58","51191","51190","",""
"64","os","29","56852","56851","",""
"67","design","1066","30334","30333","",""
"68","ups","292","38182","38181","",""
"69","12v","596","57887","57886","",""
"72","batteries","4744","14235","14234","",""
"73","indicator","71","","","",""
"74","charging","546","69090","69089","",""
"78","infrared","668","34667","34666","",""
"80","library","151","","","",""
"81","remote","69","","","",""
"85","lilypad","21","35605","35604","",""
"86","clothing","7","226546","226545","",""
"87","humidity","93","","","",""
"88","temperature","866","20101","20100","",""
"90","rfid","485","18980","18979","",""
"92","wii","11","59147","59146","",""
"94","accelerometer","407","27244","27243","",""
"95","tutorial","27","","","",""
"101","controller","139","87401","87400","",""
"102","layout","600","20145","20144","",""
"104","iphone","133","28343","28342","",""
"105","control","951","55123","55122","",""
"110","diagram","248","123093","123092","",""
"111","torque","252","","","",""
"115","sound","398","58170","58169","",""
"116","picaxe","27","57564","57563","",""
"117","blinkm","7","","","",""
"118","relay","2468","10172","10171","",""
"119","waterproof","98","60324","60323","",""
"121","led","5071","10176","10175","",""
"124","laser","266","34658","34657","",""
"125","cutting","15","","","",""
"126","fabric","12","","","",""
"128","wearable","38","35505","35504","",""
"130","ftdi","255","10420","10419","",""
"131","datasheet","902","20126","20125","",""
"132","fm","250","60104","60103","",""
"135","bootloader","260","34671","34670","",""
"137","reset","317","58680","58679","",""
"142","jtag","302","10182","10181","",""
"143","debugwire","8","","","",""
"151","encryption","49","33271","33270","",""
"153","spi","1318","10304","10303","",""
"154","i2c","1443","10174","10173","",""
"156","xbee","228","34129","34128","",""
"157","3pi","4","","","",""
"158","analog","2618","20099","20098","",""
"160","current","4261","20093","20092","",""
"161","sinking","17","","","",""
"162","sourcing","39","","","",""
"164","motion","108","85613","85612","",""
"165","wave","301","102090","102089","",""
"167","compiler","118","34651","34650","",""
"169","microsoft","5","95524","95523","",""
"170","kits","32","18998","18997","",""
"171","interface","345","35522","35521","",""
"173","flash","572","20804","20803","",""
"174","parallel","714","81256","81255","",""
"175","pololu","17","","","",""
"177","crystal","538","35361","35360","",""
"178","radio","770","18966","18965","",""
