Id,TagName,Count,ExcerptPostId,WikiPostId,IsModeratorOnly,IsRequired
"1","esri-company","6","5399","5398","",""
"2","arcobjects","2437","7683","7682","",""
"3",".net","397","11031","11030","",""
"4","development","128","13120","13119","",""
"7","distance","1304","13276","13275","",""
"8","great-circle","54","78929","78928","",""
"11","philosophy","3","185524","185523","",""
"13","tools","183","13274","13273","",""
"14","geocoding","801","13194","13193","",""
"15","security","152","42266","42265","",""
"16","convex-hull","82","79971","79970","",""
"18","state-plane","38","81668","81667","",""
"20","data","1587","12846","12845","",""
"21","ordnance-survey","145","16051","16050","",""
"26","embeddable-web-maps","28","187802","187801","",""
"27","java","782","13353","13352","",""
"28","javascript","3107","13118","13117","",""
"29","html","375","42331","42330","",""
"32","simplify","154","80559","80558","",""
"33","shapefile","4761","12426","12425","",""
"35","mapinfo","796","13186","13185","",""
"37","google","245","13398","13397","",""
"38","python","9704","12297","12296","",""
"41","database","392","13190","13189","",""
"42","key-value-store","8","","","",""
"43","nosql","10","185521","185520","",""
"44","map-editor","13","","","",""
"45","datastructure","17","","","",""
"47","ocad","4","","","",""
"48","library","47","17520","17519","",""
"50","arcinfo-workstation","20","15412","15411","",""
"51","open-source-gis","538","12798","12797","",""
"53","postgis","7983","7215","7214","",""
"56","overlay","400","13772","13771","",""
"57","geolocation","250","42335","42334","",""
"58","mobile","190","13396","13395","",""
"61","sql-server","868","13349","13348","",""
"62","spatial-database","462","13115","13114","",""
"64","gps","1159","13162","13161","",""
"67","kml","1114","7914","7913","",""
"68","gdal","4997","8830","8829","",""
"70","raster","7994","10196","10195","",""
"71","convert","1226","13279","13278","",""
"72","file-formats","200","42327","42326","",""
"73","mxd","264","13859","13858","",""
"75","google-maps","1310","12756","12755","",""
"76","commercial","12","19501","19500","",""
"79","arcmap","6288","11037","11036","",""
"80","printing","442","23799","23798","",""
"81","batch","396","42807","42806","",""
"87","ms-access","147","42077","42076","",""
"89","sql","1479","13166","13165","",""
"91","attribute-joins","835","16035","16034","",""
"92","mapserver","762","10853","10852","",""
"93","wms","1986","13168","13167","",""
"98","satellite","294","35048","35047","",""
"99","openstreetmap","2832","7792","7791","",""
"108","geoprocessing","1038","12485","12484","",""
"110","accuracy","190","42321","42320","",""
"111","map-drawing","75","185803","185802","",""
"112","labeling","1858","16026","16025","",""
"113","annotation","242","13426","13425","",""
"114","cartography","848","12428","12427","",""
"118","dem","1682","13272","13271","",""
"119","spatial-analyst","1433","12660","12659","",""
"120","pgrouting","826","15470","15469","",""
"121","transportation","96","13849","13848","",""
"122","representation","70","71240","71239","",""
"123","network","452","13391","13390","",""
"125","routing","529","13198","13197","",""
"133","rest","180","13224","13223","",""
"140","linestring","403","43062","43061","",""
"141","polygon","3442","13124","13123","",""
"142","enterprise-geodatabase","1362","11039","11038","",""
"143","qgis","31620","6977","6976","",""
"147","epsg","368","42095","42094","",""
"150","gvsig","31","67136","67135","",""
"151","grass","2036","9420","9419","",""
"152","geodjango","311","13418","13417","",""
"154","features","658","13408","13407","",""
"155","bing-maps","163","13400","13399","",""
"158","remote-sensing","1094","13412","13411","",""
"159","alias","22","185795","185794","",""
"160","point","1766","13351","13350","",""
"162","algorithm","530","13222","13221","",""
"163","analysis","229","13355","13354","",""
"168","arcgis-server","2662","11191","11190","",""
"169","c#","1314","12800","12799","",""
"173","scale","418","29901","29900","",""
"175","wfs","1166","13228","13227","",""
"176","wfs-t","196","20576","20575","",""
"177","ogc","165","16069","16068","",""
"178","standards","67","33256","33255","",""
"180","sqlite","292","21369","21368","",""
"183","animation","167","42264","42263","",""
"184","uml","9","184258","184257","",""
"185","database-model","4","50472","50471","",""
"186","nmea","51","68343","68342","",""
"190","eclipse","53","75337","75336","",""
"191","vector","1600","13122","13121","",""
"192","nearest-neighbor","185","68524","68523","",""
"193","asp.net","72","13862","13861","",""
"195","time","280","42801","42800","",""
"196","visualisation","335","13196","13195","",""
"198","interoperability","24","184142","184141","",""
"203","geometry","1402","13188","13187","",""
"206","web-service","273","15218","15217","",""
"207","geodesy","66","89036","89035","",""
"209","buffer","1150","13414","13413","",""
"210","intersection","915","13948","13947","",""
"214","elevation","638","13416","13415","",""
"215","terrain","200","42816","42815","",""
"216","modelling","117","13857","13856","",""
"220","canada","99","103426","103425","",""
"222","topology","494","13422","13421","",""
