Id,TagName,Count,ExcerptPostId,WikiPostId,IsModeratorOnly,IsRequired
"1","infinity","2050","67934","67933","",""
"2","calculus","113869","26815","26814","",""
"3","limits","36565","51947","51946","",""
"15","arithmetic","5536","51945","51944","",""
"18","geometry","41137","27169","27168","",""
"20","natural-numbers","931","322501","322500","",""
"29","relations","4095","53824","53823","",""
"33","cryptography","1647","37758","37757","",""
"34","quaternions","1320","36603","36602","",""
"48","terminology","7053","35882","35881","",""
"52","learning","543","273493","273492","",""
"53","linear-algebra","106710","30586","30585","",""
"55","statistics","30850","26467","26466","",""
"56","reference-request","17396","4433","4432","",""
"57","definition","6273","53807","53806","",""
"58","big-list","1362","51943","51942","",""
"61","project-euler","170","98704","98703","",""
"77","mathematica","608","49821","49820","",""
"78","matlab","2916","43299","43298","",""
"83","set-theory","7983","38807","38806","",""
"87","vector-spaces","15331","95326","95325","",""
"90","discrete-geometry","567","764984","764983","",""
"96","signal-processing","1755","133732","133731","",""
"102","probability-theory","35265","23431","23430","",""
"103","number-theory","36035","22237","22236","",""
"104","education","2916","133725","133724","",""
"105","economics","1313","568715","568714","",""
"106","algorithms","9948","30035","30034","",""
"109","soft-question","10522","37576","37575","",""
"111","math-software","1082","36755","36754","",""
"114","logic","22937","29956","29955","",""
"117","real-analysis","120490","27175","27174","",""
"120","proof-theory","844","89951","89950","",""
"121","constructive-mathematics","433","221636","221635","",""
"124","experimental-mathematics","185","926894","926893","",""
"125","computer-algebra-systems","478","166940","166939","",""
"130","notation","10650","15792","15791","",""
"131","approximation","3706","159194","159193","",""
"132","numerical-methods","11896","35874","35873","",""
"144","category-theory","11416","85735","85734","",""
"145","higher-order-logic","153","1275298","1275297","",""
"151","transformation","2576","1012685","1012684","",""
"154","discrete-mathematics","28286","30399","30398","",""
"158","pi","1379","53810","53809","",""
"161","convention","359","689425","689424","",""
"163","generating-functions","3622","68459","68458","",""
"164","math-history","2395","62064","62063","",""
"165","tiling","532","515665","515664","",""
"169","decimal-expansion","1035","1078387","1078386","",""
"175","trigonometry","25251","27043","27042","",""
"177","complex-analysis","43243","27173","27172","",""
"178","universal-algebra","665","1153091","1153090","",""
"180","lie-algebras","5286","251474","251473","",""
"183","polynomials","22352","43445","43444","",""
"184","roots","5429","36605","36604","",""
"191","physics","4937","58096","58095","",""
