Id,TagName,Count,ExcerptPostId,WikiPostId,IsModeratorOnly,IsRequired
"1","quantum-spin","2057","19257","19256","",""
"2","subatomic","171","76305","76304","",""
"3","string-theory","2185","13887","13886","",""
"4","particle-physics","5167","9930","9929","",""
"5","general-relativity","9967","9977","9976","",""
"6","standard-model","1730","12771","12770","",""
"9","theory-of-everything","141","76321","76320","",""
"10","heisenberg-uncertainty-principle","1127","64215","64214","",""
"12","quantum-mechanics","23036","1660","1659","",""
"15","definition","1354","63210","63209","",""
"16","optics","5911","9939","9938","",""
"20","simulations","960","76872","76871","",""
"22","momentum","2689","61663","61662","",""
"28","projectile","1023","70784","70783","",""
"29","speed","671","73793","73792","",""
"34","energy-conservation","2523","43538","43537","",""
"36","variational-principle","818","14555","14554","",""
"38","kinematics","3328","14553","14552","",""
"39","quantum-field-theory","10162","11333","11332","",""
"41","determinism","271","","","",""
"42","special-relativity","8107","6135","6134","",""
"44","sensor","96","","","",""
"45","applied-physics","182","","","",""
"46","accelerator-physics","169","34275","34274","",""
"50","medical-physics","114","360569","360568","",""
"53","mnemonic","7","","","",""
"55","quantum-entanglement","1496","41276","41275","",""
"56","quantum-optics","873","24166","24165","",""
"57","neutrons","424","284910","284909","",""
"59","mass","2571","43534","43533","",""
"61","gravity","4176","6129","6128","",""
"63","space","476","46088","46087","",""
"64","astronomy","1685","28595","28594","",""
"65","electrostatics","5795","10879","10878","",""
"66","coulombs-law","640","73831","73830","",""
"69","experimental-physics","3096","13356","13355","",""
"70","cosmology","4213","12773","12772","",""
"72","cosmological-inflation","570","128670","128669","",""
"73","dark-matter","738","111723","111722","",""
"74","dark-energy","427","167244","167243","",""
"76","binding-energy","341","242937","242936","",""
"77","nuclear-physics","2462","9932","9931","",""
"78","nuclear-engineering","351","70515","70514","",""
"79","forces","6761","10883","10882","",""
"83","classical-mechanics","6509","1658","1657","",""
"86","atoms","743","12537","12536","",""
"87","astrophysics","2184","14675","14674","",""
"89","software","453","","","",""
"91","large-hadron-collider","345","27876","27875","",""
"93","pulsars","52","","","",""
"94","neutron-stars","273","","","",""
"95","atmospheric-science","924","70525","70524","",""
"96","climate-science","144","138195","138194","",""
"97","physical-chemistry","934","24584","24583","",""
"98","thermodynamics","10898","9981","9980","",""
"101","fluid-dynamics","5247","13889","13888","",""
"102","material-science","1409","14690","14689","",""
"103","education","956","17453","17452","",""
"106","fusion","494","486997","486996","",""
"109","epistemology","36","119050","119049","",""
"110","order-of-magnitude","95","","","",""
