Id,TagName,Count,ExcerptPostId,WikiPostId,IsModeratorOnly,IsRequired
"4","mysql","8246","178829","176589","",""
"5","oracle","818","239356","239355","",""
"7","postgresql","1818","251819","251818","",""
"9","networking","14362","195550","195549","",""
"10","hardware","1660","307779","307778","",""
"11","automation","607","303069","303068","",""
"13","security","6546","223457","223456","",""
"14","domain-name-system","11348","189286","189285","",""
"15","dhcp","1981","250169","250168","",""
"16","remote-access","1049","307789","307788","",""
"17","email","6246","246179","246178","",""
"19","scripting","1735","385958","385957","",""
"20","maintenance","239","611303","611302","",""
"22","virtualization","3495","236741","236740","",""
"23","linux","35828","177585","176585","",""
"24","freebsd","1493","181883","181882","",""
"25","windows","16324","239383","239382","",""
"28","solaris","1149","228933","228932","",""
"32","indexes","36","","","",""
"33","raid","3438","239353","239352","",""
"35","ibm","398","399130","399129","",""
"37","unix","1912","236996","236995","",""
"39","package-management","399","825330","825329","",""
"41","files","657","647360","647359","",""
"42","anti-virus","346","398726","398725","",""
"46","ubuntu","14964","212476","212475","",""
"47","iis","5118","199110","199109","",""
"48","hosting","1191","237108","237107","",""
"50","partition","1041","302699","302698","",""
"53","backup","3837","246162","246161","",""
"54","powershell","3773","239373","239372","",""
"55","cloud","804","369048","369047","",""
"56","providers","16","","","",""
"58","disaster-recovery","345","706615","706614","",""
"59","windows-server-2003","5364","246150","246149","",""
"60","cloud-computing","312","647379","647378","",""
"61","application-server","90","","","",""
"64","bandwidth","705","373856","373855","",""
"65","monitoring","2373","250445","250444","",""
"66","php","7517","237110","237109","",""
"68","exchange","3366","220241","220240","",""
"69","exchange-2007","932","245278","245277","",""
"72","windows-server-2008","8990","225413","225412","",""
"75","image","194","","","",""
"76","mod-rewrite","2098","248721","248720","",""
"77","rewrite","1990","421382","421381","",""
"78","vpn","4665","246159","246158","",""
"80","search-server","23","","","",""
"81","search","203","","","",""
"82","sharepoint","956","239329","239328","",""
"83","system-restore","45","","","",""
"84","troubleshooting","336","398774","398773","",""
"85","optimization","335","398778","398777","",""
"90","mac","692","287865","287864","",""
"91","website","598","376994","376993","",""
"92","traffic","291","","","",""
"93","performance","3080","246181","246180","",""
"94","ssl","6492","177739","177738","",""
"95","certificate","1219","260045","260044","",""
"98","tempdb","26","","","",""
"103","screen-sharing","20","","","",""
"104","tcpip","437","381976","381975","",""
"105","static-routes","162","672490","672489","",""
"107","cluster","1292","279477","279476","",""
"109","xfs","307","293447","293446","",""
"110","zfs","1262","251997","251996","",""
"111","storage","1830","319158","319157","",""
"112","filesystems","1863","401279","401278","",""
"113","startup","220","415966","415965","",""
"114","small-business","97","","","",""
"115","outlook","1005","245276","245275","",""
"116","calendar","145","","","",""
"117","permissions","3486","246194","246193","",""
"118","network-attached-storage","724","240715","240714","",""
"121","fakeraid","24","","","",""
"125","innodb","369","264130","264129","",""
"126","myisam","69","","","",""
"127","xen","1132","257053","257052","",""
"128","vps","1767","251149","251148","",""
"129","memory","1918","251382","251381","",""
"130","laptop","101","","","",""
"139","http","2063","240722","240721","",""
"140","compression","405","752876","752875","",""
"142","email-server","2803","468937","468936","",""
"143","ical","13","","","",""
"145","ext4","445","244139","244138","",""
"146","iis-7","2132","246188","246187","",""
"147","ext3","285","302750","302749","",""
"148","tuning","53","","","",""
"151","useradd","43","","","",""
"152","su","119","375516","375515","",""
"154","cisco","2593","181632","181631","",""
"157","debug","58","","","",""
"160","debian","6898","246184","246183","",""
"163","localization","118","669638","669637","",""
"164","daylight-saving","17","","","",""
"166","logon-scripts","77","","","",""
"168","fiber","190","240717","240716","",""
"169","ethernet","657","381974","381973","",""
"170","local-area-network","869","251376","251375","",""
"173","server-room","98","","","",""
"175","administrator","2","692765","692764","",""
"176","rdp","1136","302733","302732","",""
"177","thin-client","134","365129","365128","",""
"178","wsus","593","305862","305861","",""
"184","encryption","730","260048","260047","",""
"191","directory-services","19","","","",""
"192","openldap","1323","244141","244140","",""
"193","firewall","3922","239326","239325","",""
"194","ssh","8084","234274","234273","",""
"195","login","894","341531","341530","",""
"196","munin","328","275911","275910","",""
"197","defrag","40","","","",""
"199","server-crashes","234","","","",""
"200","smtp","2982","232336","232335","",""
"201","bugzilla","109","399066","399065","",""
"202","postfix","5862","250152","250151","",""
"203","password","885","326401","326400","",""
"205","hacking","460","422303","422302","",""
"208","web-services","169","488096","488095","",""
"209","url","483","392868","392867","",""
"211","netlogon","44","538501","538500","",""
"214","replace","49","548787","548786","",""
"215","frequency","16","","","",""
