Id,TagName,Count,ExcerptPostId,WikiPostId,IsModeratorOnly,IsRequired
"2","c#","13702","33","32","",""
"3",".net","2646","138","137","",""
"4","javascript","26098","117","116","",""
"5","java","14305","46","45","",""
"6","hashmap","69","1057","1056","",""
"11","ado.net","122","1061","1060","",""
"12","php","27098","89","88","",""
"13","sms","40","1149","1148","",""
"14","twitter-bootstrap","1428","955","954","",""
"15","ruby-on-rails","778","553","552","",""
"16","css","8203","103","102","",""
"17","public","6","1153","1152","",""
"18","private","18","1151","1150","",""
"19","protected","5","1155","1154","",""
"21","django","1006","870","869","",""
"22","python","8101","48","47","",""
"23","l10n","2","1718","1717","",""
"24","jsf","1002","756","755","",""
"25","demoiselle","67","504","503","",""
"26","tomcat","276","941","940","",""
"27","spring","768","809","808","",""
"28","spring-mvc","287","1360","1359","",""
"29","spring-data","111","66112","66111","",""
"30","string","1837","752","751","",""
"31","angularjs","2500","850","849","",""
"33","angularjs-scope","59","","","",""
"34","magento","156","1216","1215","",""
"35","front-end","487","1550","1549","",""
"36","phtml","6","939","938","",""
"38","android","8917","81","80","",""
"39","eclipse","492","811","810","",""
"41","datetime","425","758","757","",""
"43","mysql","10135","387","386","",""
"44","sql","6624","654","653","",""
"45","youtube","85","1030","1029","",""
"46","extjs","20","754","753","",""
"47","panel","26","1420","1419","",""
"48","ruby","677","803","802","",""
"49","irb","3","1228","1227","",""
"52","linq","574","861","860","",""
"53","entity-framework","1202","1063","1062","",""
"54","qt","184","621","620","",""
"55","c++","2280","251","250","",""
"57","sql-server","2724","656","655","",""
"61","jboss","107","1065","1064","",""
"64","testes","217","762","761","",""
"65","jasmine","24","1230","1229","",""
"67","generators","15","1222","1221","",""
"70","sbt","4","1422","1421","",""
"71","jquery","11337","646","645","",""
"72","oracle","1105","768","767","",""
"74","job","13","1392","1391","",""
"75","tsql","105","749","748","",""
"76","alfresco","3","1374","1373","",""
"77","liferay","2","1542","1541","",""
"78","ecm","2","12683","12682","",""
"79","cms","30","1544","1543","",""
"80","iis","244","980","979","",""
"81","asp.net","1877","744","743","",""
"82","asp.net-mvc","3380","680","679","",""
"83","html5","3844","746","745","",""
"84","web-worker","8","1476","1475","",""
"85","signalr","29","1147","1146","",""
"86","html","14063","740","739","",""
"87","google-chrome","251","1088","1087","",""
"89","google-chrome-extensão","74","1738","1737","",""
"90","git","910","154","153","",""
"91","vim","26","162","161","",""
"92","nginx","147","1174","1173","",""
"93","gzip","19","1055","1054","",""
"94","laravel","2742","1167","1166","",""
"95","laravel-4","141","459","458","",""
"96","loop","641","1051","1050","",""
"97","matplotlib","132","389","388","",""
"98","ipython-notebook","34","1086","1085","",""
"99","latex","87","1090","1089","",""
"100","json","3086","648","647","",""
"101","versionamento","152","1026","1025","",""
"104","spring-security","144","1533","1532","",""
"110","brasil","13","852","851","",""
"111","nfe","109","1034","1033","",""
"113","código-aberto","14","1342","1341","",""
"114","cdi","85","28838","28837","",""
"115","jee","21","1483","1482","",""
"118","orm","93","799","798","",""
"119","nhibernate","108","1176","1175","",""
"121","hsqldb","13","74284","74283","",""
"122","junit","115","1163","1162","",""
"123","xml","1023","805","804","",""
"124","ssis","31","1122","1121","",""
"125","wmi","10","264","263","",""
"128","algoritmo","707","854","853","",""
"129","api","1155","845","844","",""
"130","restful","200","1584","1583","",""
"131","http","461","1069","1068","",""
"132","release","15","1140","1139","",""
"134","primefaces","751","998","997","",""
"135","django-rest-framework","52","","","",""
"136","recursão","233","1038","1037","",""
"151","dbunit","2","1370","1369","",""
"152","postgresql","1410","787","786","",""
"153","packages","68","1582","1581","",""
"154","regex","1214","764","763","",""
"156","css3","1922","644","643","",""
"157","firefox","119","1458","1457","",""
"159","base64","69","996","995","",""
"162","svg","164","1134","1133","",""
"163","webdesign","41","1472","1471","",""
"164","data-uri","3","1200","1199","",""
"169","angularjs-directives","137","388929","388928","",""
"171","r","2230","1136","1135","",""
"172","xmpp","3","1418","1417","",""
"176","ubuntu","397","1426","1425","",""
"177","excel","1071","1202","1201","",""
"178","vba","760","1116","1115","",""
"179","doctrine","96","1096","1095","",""
"180","logo","5","1214","1213","",""
"181","lisp","17","1075","1074","",""
"182","português","4","28046","28045","",""
"184","asp.net-mvc-5","938","986","985","",""
