Id,TagName,Count,ExcerptPostId,WikiPostId,IsModeratorOnly,IsRequired
"1",".net","1073","680","679","",""
"2","asp.net-web-api","218","3029","3028","",""
"3","delphi","171","20","19","",""
"4","c++","3450","15","14","",""
"5","string","1040","585","584","",""
"6","casting","24","6304","6303","",""
"7","google-maps","574","891","890","",""
"8","angularjs","1386","22","21","",""
"9","jasmine","10","1701","1700","",""
"10","karma-jasmine","11","6753","6752","",""
"11","typescript","1203","737","736","",""
"12","perl","66","306","305","",""
"13","ios","661","616","615","",""
"14","xcode","417","690","689","",""
"15","elixir","3","4210","4209","",""
"16","javascript","24213","86","85","",""
"18","ruby-on-rails","750","4000","3999","",""
"20","ruby","476","283","282","",""
"21","vistas","81","662","661","",""
"23","jquery","9261","500","499","",""
"24","android","9093","116","115","",""
"25","socket","251","5008","5007","",""
"26","tcpip","17","641","640","",""
"27","tcp","37","643","642","",""
"28","mysql","11541","99","98","",""
"29","datetime","326","1672","1671","",""
"30","timestamp","68","692","691","",""
"31","sql","8096","144","143","",""
"34","join","226","9788","9787","",""
"35","oracle","1146","578","577","",""
"36","oracle-10g","22","590","589","",""
"37","asp.net","2469","494","493","",""
"38","bower","10","186","185","",""
"39","c++11","157","869","868","",""
"41","google-apps-script","282","893","892","",""
"42","momentjs","60","730","729","",""
"44","http","329","1525","1524","",""
"45","post","377","5268","5267","",""
"47","kendoui","20","1549","1548","",""
"49","bash","619","682","681","",""
"50","c#","11406","125","124","",""
"51","java","17414","173","172","",""
"52","spring","721","684","683","",""
"53","hibernate","414","672","671","",""
"54","python","11426","242","241","",""
"55","variables","533","7109","7108","",""
"58","git","662","183","182","",""
"62","laravel","5657","166","165","",""
"63","php","24323","409","408","",""
"64","ajax","4084","686","685","",""
"65","html","13040","164","163","",""
"66","css","5650","114","113","",""
"67","fish","3","28246","28245","",""
"68","android-intent","136","10023","10022","",""
"69","android-asynctask","143","17927","17926","",""
"70","linux","1427","327","326","",""
"71","shell","258","700","699","",""
"72","sed","57","698","697","",""
"73","awk","63","1684","1683","",""
"74","android-layout","570","650","649","",""
"75","unidades-de-medición","3","","","",""
"77","pharo","3","1153","1152","",""
"78","smalltalk","5","696","695","",""
"80","regex","909","240","239","",""
"81","email","403","706","705","",""
"82","validación","462","1674","1673","",""
"83","rendimiento","69","10026","10025","",""
"84","optimización","130","834","833","",""
"88","wcf","130","1680","1679","",""
"89","soap","252","688","687","",""
"90","soapui","26","1626","1625","",""
"96","try-catch","67","27860","27859","",""
"97","str-replace","43","10043","10042","",""
"99","git-commit","60","1002","1001","",""
"100","dukescript","3","652","651","",""
"101","admob","53","867","866","",""
"103","funciones","874","5006","5005","",""
"105","jvm","14","631","630","",""
"107","eclipse","586","919","918","",""
"108","depuración","80","2363","2362","",""
"109","jboss","44","1610","1609","",""
"110","vagrant","32","1592","1591","",""
"111","puppet","1","716","715","",""
"114","doctrine","56","5395","5394","",""
"115","doctrine2","45","5493","5492","",""
"116","matemáticas","140","3899","3898","",""
"117","coma-flotante","11","5274","5273","",""
"119","laravel-5","1948","216","215","",""
"123","zsh","15","531","530","",""
"124","django","2157","658","657","",""
"128","constructor","107","2395","2394","",""
"129","clase-abstracta","33","10037","10036","",""
"130","mercurial","3","887","886","",""
"131","control-de-versiones","33","1608","1607","",""
"132","pip","96","7107","7106","",""
"133","ubuntu","673","529","528","",""
"134","python-2.7","585","1519","1518","",""
"135","entity-framework","481","1392","1391","",""
"136","model-view-controller","72","1697","1696","",""
"138","formularios","908","1836","1835","",""
"139","html5","4107","527","526","",""
"140","comparaciones","88","6306","6305","",""
"141","knockoutjs","28","1541","1540","",""
"146","css3","1525","965","964","",""
"147","3d","21","1620","1619","",""
"148","importación","48","30748","30747","",""
"149","numpy","348","4811","4810","",""
"150","array","3100","843","842","",""
"152","google-newsstand-producer","1","533","532","",""
"153","objective-c","98","523","522","",""
"154","swift","609","694","693","",""
"160","visual-studio","1550","929","928","",""
"161","programación-funcional","116","525","524","",""
"162","android-softkeyboard","10","26491","26490","",""
"164","nodejs","3046","674","673","",""
"165","ec2","38","3477","3476","",""
"166","npm","312","1655","1654","",""
"167","aurelia.io","2","1596","1595","",""
"168","select2","120","4880","4879","",""
"169","rspec","6","656","655","",""
"170","python-3.x","4094","1521","1520","",""
"171","xml","1043","496","495","",""
"172","codificación","77","9657","9656","",""
"173","utf-8","126","865","864","",""
"174","cordova","220","1033","1032","",""
