Id,TagName,Count,ExcerptPostId,WikiPostId,IsModeratorOnly,IsRequired
"1","python","34554","413473","413472","",""
"2","smtp","236","703568","703567","",""
"3","postgresql","2799","414254","414253","",""
"4","linux","7564","413332","413331","",""
"5","svn","111","414905","414904","",""
"6","прокси","72","","","",""
"8","android","29747","412967","412966","",""
"9","chrome-extension","377","589742","589741","",""
"11","локализация","142","446595","446594","",""
"12","django","4656","414802","414801","",""
"13","драйвер","211","767150","767149","",""
"15","apache","1569","414789","414788","",""
"16","ubuntu","3386","413349","413348","",""
"17","ssh","585","414902","414901","",""
"18","virtualbox","298","425877","425876","",""
"19","nat","65","493931","493930","",""
"20","android-ndk","144","699844","699843","",""
"21","c","7371","412950","412949","",""
"22","eclipse","680","413781","413780","",""
"24","ide","386","414004","414003","",""
"25","web-apps","46","","","",""
"28","c++","25746","413457","413456","",""
"29","java","41457","413376","413375","",""
"30","llvm","24","554484","554483","",""
"31","clang","66","","","",""
"33","unix","542","414817","414816","",""
"34","лицензирование","162","520661","520660","",""
"35","brainfuck","15","678365","678364","",""
"36","include","133","1170092","1170091","",""
"37","vim","181","414957","414956","",""
"38","алгоритм","4551","412984","412983","",""
"39","сортировка","1343","422891","422890","",""
"40","c#","33949","413270","413269","",""
"41","gwt","176","414825","414824","",""
"42","javascript","53661","412969","412968","",""
"43","html","28384","412964","412963","",""
"44","html5","3735","414846","414845","",""
"45","css","22729","414613","414612","",""
"46","шаблоны","234","655623","655622","",""
"47","mvc","976","414815","414814","",""
"48","mvvm","883","425900","425899","",""
"50","cmake","375","475591","475590","",""
"51","visual-studio","2694","415006","415005","",""
"52","vector","414","703578","703577","",""
"54","grub","138","638525","638524","",""
"55","bash","1433","414719","414718","",""
"56","unicode","311","523990","523989","",""
"58","windows","4444","413991","413990","",""
"60","gcc","441","416136","416135","",""
"61","профилирование","35","710316","710315","",""
"62","стиль","31","","","",""
"65","gnu","38","416523","416522","",""
"66","com","172","716568","716567","",""
"68","wpf","4875","414897","414896","",""
"69",".net","4415","414685","414684","",""
"70","база-данных","4849","412974","412973","",""
"71","jquery","19400","412981","412980","",""
"73","xaml","1015","416326","416325","",""
"74","vga","9","","","",""
"76","installshield","9","","","",""
"77","регулярные-выражения","4295","412987","412986","",""
"81","тестирование","300","451120","451119","",""
"83","web-camera","58","","","",""
"84","linq","646","425828","425827","",""
"85","бинарное-дерево","135","485636","485635","",""
"86","дерево","195","436451","436450","",""
"87","архивация","62","","","",""
"88","mfc","88","758996","758995","",""
"89","установка","219","901374","901373","",""
"90","firewall","68","","","",""
"91","putty","63","943152","943151","",""
"92","vmware","104","763022","763021","",""
"93","debian","999","415016","415015","",""
"94","winapi","1697","417278","417277","",""
"98","книги","398","418037","418036","",""
"99","gdb","79","","","",""
"100","jar","283","448914","448913","",""
"102","jetbrains","111","502695","502694","",""
"103","c++builder","355","422876","422875","",""
"105","xml","2468","414791","414790","",""
"106","xmlparser","177","1169627","1169626","",""
"109","openvpn","138","427091","427090","",""
"110","samba","68","657059","657058","",""
"111","rsa","141","414961","414960","",""
"113","apt-get","89","551838","551837","",""
"114","freebsd","127","415185","415184","",""
"115","cmd","811","417484","417483","",""
"116","документация","138","646848","646847","",""
"118","dll","563","417482","417481","",""
"119","silverlight","44","","","",""
"120","flash","281","416140","416139","",""
"121","javafx","1429","467317","467316","",""
"122","нейронные-сети","563","512941","512940","",""
"123","3d","269","698729","698728","",""
"124","защита","130","684913","684912","",""
"126","asp.net","1673","415197","415196","",""
"127","консоль","773","698447","698446","",""
"128","json","4804","414807","414806","",""
"129","производительность","317","767806","767805","",""
"130","ruby","795","413045","413044","",""
"131","cuda","91","456747","456746","",""
"132","google-app-engine","40","417909","417908","",""
"133","ipad","107","425858","425857","",""
"134","objective-c","1531","414294","414293","",""
"135","ios","3009","414624","414623","",""
"136","iphone","370","422881","422880","",""
"137","контроль-версий","115","782703","782702","",""
"140","пк","29","","","",""
"141","файлы","2335","422721","422720","",""
"142","графика","411","683242","683241","",""
"144","декомпиляция","46","","","",""
"145","память","660","679434","679433","",""
"148","gdi+","41","","","",""
"149","graphics","162","1169969","1169968","",""
"151","cocoa","102","425812","425811","",""
"152","компилятор","192","438003","438002","",""
"153","стандарт","62","1176964","1176963","",""
"154","сеть","1200","425942","425941","",""
"155","xcode","1750","414630","414629","",""
"156","ddos","56","919205","919204","",""
"157","delphi","2965","413012","413011","",""
"158","pycharm","401","637656","637655","",""
"160","facebook","240","425865","425864","",""
"161","mingw","220","807643","807642","",""
"162","activex","32","","","",""
"167","метрики","16","","","",""
"169","udp","156","550595","550594","",""
"171","ajax","5305","413145","413144","",""
"172","irc","7","433751","433750","",""
"173","ant","61","438008","438007","",""
"175","grep","99","1003719","1003718","",""
"177","bat","447","640909","640908","",""
"179","pop3","36","516234","516233","",""
"182","проект","37","938692","938691","",""
"183","работа","82","608227","608226","",""
"184","soap","250","1130870","1130869","",""
"185","mysql","14432","412991","412990","",""
"186","php","45525","413090","413089","",""
"187","sql","10591","413007","413006","",""
"188","winforms","3556","422726","422725","",""
"189","mac","220","417253","417252","",""
"190","git","2358","414620","414619","",""
"192","ооп","2518","416054","416053","",""
"194","mips","13","","","",""
"197","шифрование","357","425851","425850","",""
"201","google-maps-api","679","467741","467740","",""
"203","клиент-сервер","475","617011","617010","",""
"204","oracle","1715","414442","414441","",""
"205","pascal","811","414800","414799","",""
"206","jni","96","414949","414948","",""
"208","carbon","29","","","",""
"211","многопоточность","2599","419153","419152","",""
"212","исключения","818","523042","523041","",""
"213","jvm","127","846013","846012","",""
"214","swing","947","417476","417475","",""
"217","маршрутизатор","42","919065","919064","",""
"218","desktop","77","","","",""
"219","планирование","11","","","",""
"221","плагин","153","1169991","1169990","",""
"226","forms","122","","","",""
"228","bluetooth","153","944884","944883","",""
"230","авторизация","485","422917","422916","",""
"232","nginx","1601","413310","413309","",""
"234","firebird","269","438140","438139","",""
"235","webkit","73","","","",""
"237","posix","48","1009945","1009944","",""
"240","case","63","852264","852263","",""
"242","классы","1808","422900","422899","",""
"244","google","538","416148","416147","",""
"246","yandex-maps-api","1186","433691","433690","",""
"250","textarea","117","","","",""
"252","hibernate","1219","509668","509667","",""
"255","справка","6","","","",""
"257","node.js","4908","413326","413325","",""
"258","веб-сервер","580","425861","425860","",""
"259","tomcat","575","425880","425879","",""
"260","perl","463","413915","413914","",""
"261","иконки","41","","","",""
"262","дизайн","112","","","",""
"265","кодировка","1046","425938","425937","",""
"266","utf-8","421","417490","417489","",""
"267","interbase","57","818608","818607","",""
"269","кэширование","368","737098","737097","",""
"270","tcp-ip","166","416130","416129","",""
"273","указатели","974","419771","419770","",""
"274","ссылки","324","1185097","1185096","",""
"275","boost","303","430853","430852","",""
"276","роутер","121","427110","427109","",""
"277","opengl","738","414563","414562","",""
"279","архитектура","629","480535","480534","",""
"283","excel","1428","415008","415007","",""
"284","actionscript-3","96","469796","469795","",""
"285","netbeans","319","414875","414874","",""
"286","dbgrid","29","1130207","1130206","",""
"287","canvas","961","422913","422912","",""
"288","вёрстка","3034","614540","614539","",""
"289","java-ee","715","414827","414826","",""
"290","сервлеты","29","","","",""
"293","corel-draw","10","","","",""
"295","потоки-данных","445","425838","425837","",""
"296","api","1422","414813","414812","",""
"297","sip","61","","","",""
"299","video","391","682523","682522","",""
"301","фильтры","56","","","",""
"302","ffmpeg","315","491218","491217","",""
"303","видео","189","687377","687376","",""
"304","g++","202","417251","417250","",""
"305","podcast","2","","","",""
"306","embedded","72","1003724","1003723","",""
"307","rss","73","665167","665166","",""
"308","access","313","425955","425954","",""
"312","intel","37","935007","935006","",""
"313","jsp","648","425846","425845","",""
"315","http","1266","416144","416143","",""
"316","sqlite","1804","414809","414808","",""
"318","layout","120","682509","682508","",""
"319","yii","878","413088","413087","",""
"320","directx","139","753197","753196","",""
"321","https","498","425933","425932","",""
"322","cygwin","42","","","",""
"325","ftp","329","417486","417485","",""
"326","teamviewer","14","","","",""
"328","1с","420","416153","416152","",""
"329","vbscript","98","1144521","1144520","",""
"331","cron","325","430843","430842","",""
"332","centos","557","422923","422922","",""
"333","open-office","43","","","",""
"334","wysiwyg","56","694344","694343","",""
"335","cms","560","415010","415009","",""
"336","сервер","1410","417282","417281","",""
"337","железо","220","642994","642993","",""
"338","upload","97","","","",""
"339","ejb","50","892227","892226","",""
"342","кластер","28","427102","427101","",""
"346","livewallpaper","14","1165410","1165409","",""
"347","andengine","8","","","",""
"348","sqlite3","419","1152215","1152214","",""
"352","exim","45","","","",""
"354","pdf","404","425855","425854","",""
"356","матрицы","549","1169542","1169541","",""
"357","объекты","831","739633","739632","",""
"358","dns","280","417488","417487","",""
"360","mime","40","","","",""
"362","javamail","43","","","",""
"364","автоматизация","98","589708","589707","",""
"369","отладка","485","625704","625703","",""
"370","активация","14","","","",""
"372","drupal","326","416150","416149","",""
"373","extjs","120","433639","433638","",""
"374","glassfish","112","460622","460621","",""
"378","безопасность","648","425959","425958","",""
"379","хостинг","337","413996","413995","",""
"380","gems","54","413262","413261","",""
"381","ruby-on-rails","1237","412945","412944","",""
"383","jpa","445","679638","679637","",""
"385","редактор","61","","","",""
"389","lazarus","97","428910","428909","",""
"390","mediaplayer","139","1170044","1170043","",""
"394","синхронизация","120","","","",""
"396","md5","90","734387","734386","",""
"398","wcf","311","522333","522332","",""
"400","инструменты","6","","","",""
"401","joomla","539","414873","414872","",""
"402","dreamweaver","13","","","",""
"403","поиск","464","682515","682514","",""
"405","visual-basic","219","598912","598911","",""
"406","mpi","56","469231","469230","",""
"408","mono","87","1054975","1054974","",""
"410","servlet","595","477012","477011","",""
"412","ssh-key","43","","","",""
"414","io","192","606865","606864","",""
"416","borland","40","","","",""
"417","aptana","6","","","",""
"420","gtk","115","852344","852343","",""
"422","распознавание","49","","","",""
"423","gps","128","457720","457719","",""
"424","wix","27","413506","413505","",""
"425","статический-анализ","33","","","",""
"426","cocos2d","50","438780","438779","",""
"427","iptables","203","530354","530353","",""
"428","cookie","680","414822","414821","",""
"429","lisp","70","436438","436437","",""
"430","postfix","84","734395","734394","",""
"431","почта","143","467730","467729","",""
"432","vps","212","417492","417491","",""
"434","devexpress","136","572484","572483","",""
"435","raid","54","","","",""
"437","android-sdk","837","417176","417175","",""
"439","dos","59","772526","772525","",""
"441","stl","339","416138","416137","",""
"442","orm","330","414842","414841","",""
"443","jsf","218","414954","414953","",""
"444","lua","272","436849","436848","",""
"448","домен","161","1197096","1197095","",""
"451","vi","13","513965","513964","",""
"453","rpc","23","547011","547010","",""
"456","модульность","30","","","",""
"458","лексер","8","","","",""
"459","парсер","2368","436457","436456","",""
"460","qt","3836","414796","414795","",""
"461","вконтакте","1067","425840","425839","",""
"463","wordpress","5831","414000","413999","",""
"464","emacs","44","514152","514151","",""
"465","график","135","741863","741862","",""
"466","визуализация","60","","","",""
"468","curl","924","414899","414898","",""
"469","pipes","42","","","",""
"475","haskell","129","414429","414428","",""
"476","синтаксис","184","720337","720336","",""
"479","реестр","170","1132975","1132974","",""
"480","dropbox","23","","","",""
"481","hardware","85","","","",""
"482","nas","10","","","",""
"484","directshow","18","734501","734500","",""
"486","glut","41","","","",""
"487","css3","3913","414888","414887","",""
"488","moodle","13","","","",""
"492","терминология","245","647547","647546","",""
"493","mercurial","39","826937","826936","",""
"494","форматирование","117","765843","765842","",""
"498","opensuse","31","944535","944534","",""
"500","коллекции","503","698097","698096","",""
"502","selenium","1111","439660","439659","",""
"503","firefox","369","469778","469777","",""
"504","openmp","56","1125215","1125214","",""
"505","распараллеливание","91","","","",""
"507","swf","31","","","",""
"508","администрирование","546","425917","425916","",""
"509","xhtml","50","","","",""
"513","actionscript","137","419006","419005","",""
"515","windowsinstaller","41","","","",""
"521","doxygen","8","","","",""
"524","boot","107","829221","829220","",""
"525","spring","2588","414884","414883","",""
"526","asp.net-mvc","1760","422874","422873","",""
"528","cdt","5","413783","413782","",""
"530","оптимизация","765","422902","422901","",""
"533","xorg","32","948606","948605","",""
"534","gui","1022","415019","415018","",""
"538","плеер","18","","","",""
"539","mp3","90","1133751","1133750","",""
"541","процедуры","53","","","",""
"542","гис","3","","","",""
"543","2d","149","1170050","1170049","",""
"548","ssl","494","524922","524921","",""
"552","tfs","43","488057","488056","",""
"553","макросы","107","","","",""
"556","математика","1267","425849","425848","",""
"557","jdbc","475","414945","414944","",""
"558","hosting","113","626188","626187","",""
"560","p2p","32","","","",""
"561","explorer","37","","","",""
"563","gnome","74","944285","944284","",""
"564","diff","31","","","",""
"566","перекодировка","65","","","",""
"569","erlang","44","414479","414478","",""
"570","sax","35","628486","628485","",""
"571","dom","716","422937","422936","",""
"573","null","149","726063","726062","",""
"574","gameserver","14","","","",""
"576","cgi","81","414952","414951","",""
"577","пароль","90","","","",""
"580","ado.net","262","638722","638721","",""
"581","таймер","122","","","",""
"582","ebook","3","","","",""
"583","права","85","","","",""
"584","asp","86","648607","648606","",""
"587","хеширование","277","665247","665246","",""
"588","облако","27","427098","427097","",""
"589","ос","101","517946","517945","",""
"595","exif","16","","","",""
"597","bios","114","436415","436414","",""
"599","wifi","340","425923","425922","",""
"600","snmp","46","","","",""
"603","memcached","59","415004","415003","",""
"604","winsock","121","","","",""
"608","url","701","422906","422905","",""
"613","usb","235","425921","425920","",""
"614","sd","23","","","",""
"619","xna","42","","","",""
"621","разработка-игр","1002","415457","415456","",""
"623","openid","20","","","",""
"624","photo","28","","","",""
"625","ui","292","425867","425866","",""
"626","bind","39","535021","535020","",""
"628","структуры","447","698105","698104","",""
"629","информатика","66","","","",""
"635","ip","439","417478","417477","",""
"636","router","87","","","",""
"642","ping","62","","","",""
"644","framework","284","422925","422924","",""
"647","динамик","3","","","",""
