Id,TagName,Count,ExcerptPostId,WikiPostId,IsModeratorOnly,IsRequired
"203","firmware","428","392824","392823","",""
"204","upgrade","1190","320795","320794","",""
"205","networking","30295","244736","244735","",""
"206","audio","6570","257013","257012","",""
"207","video","5396","256215","256214","",""
"208","motherboard","4279","257030","257029","",""
"209","bios","4268","278912","278911","",""
"210","memory","6220","247203","247202","",""
"211","windows","48219","183765","183049","",""
"212","linux","52996","185300","185299","",""
"213","mac","8881","183766","183252","",""
"215","security","4900","208836","208835","",""
"216","virus","1190","324479","324478","",""
"220","fedora","2063","282881","282880","",""
"225","microsoft-outlook","4983","246158","246157","",""
"226","browser","3455","246318","246317","",""
"228","firefox","8189","184808","184807","",""
"232","compression","1084","368834","368833","",""
"265","ftp","2090","249096","249095","",""
"266","html","1018","307798","307797","",""
"268","entourage","26","","","",""
"269","itunes","1086","243704","243703","",""
"270","printer","1954","249390","249389","",""
"274","exchange","893","325064","325063","",""
"277","finder","596","328381","328380","",""
"280","flash","800","246024","246023","",""
"281","usb","7763","208841","208840","",""
"282","laptop","7753","245045","245044","",""
"283","raid","2168","320567","320566","",""
"284","router","9675","256224","256223","",""
"287","safari","534","326756","326755","",""
"288","opera","489","184011","184010","",""
"293","mouse","2364","252760","252759","",""
"294","keyboard","4989","256222","256221","",""
"296","desktop","1069","245060","245059","",""
"297","remote-desktop","3723","247196","247195","",""
"298","skype","1209","230511","230510","",""
"299","dns","4725","282869","282868","",""
"300","gmail","1257","267272","267271","",""
"301","vlc-media-player","1484","325052","325051","",""
"303","adium","33","416300","416299","",""
"304","rss","258","281059","281058","",""
"305","yahoo-messenger","52","434309","434308","",""
"306","boot","11134","249644","249643","",""
"308","windows-registry","2297","247267","247266","",""
"313","firewall","2228","247217","247216","",""
"315","encryption","2583","302160","302159","",""
"316","ipod","193","230709","230708","",""
"317","parallels","271","326993","326992","",""
"318","vmware","1621","247223","247222","",""
"322","webdav","147","1110901","1110900","",""
"323","mp3","799","184225","184224","",""
"325","cpu","4497","252758","252757","",""
"333","lcd","520","251802","251801","",""
"334","windows-mobile","88","247151","247150","",""
"335","palm-pre","3","","","",""
"336","blackberry","49","258867","258866","",""
"337","pcmcia","28","1015172","1015171","",""
"338","pci-express","677","552223","552222","",""
"340","webcam","742","328775","328774","",""
"341","scanner","318","937026","937025","",""
"343","fax","71","","","",""
"344","modem","917","363964","363963","",""
"345","switch","849","363993","363992","",""
"349","ups","266","328538","328537","",""
"350","backup","3984","256220","256219","",""
"351","restore","630","376088","376087","",""
"353","citrix","119","","","",""
"354","ssh","9273","243034","243033","",""
"355","telnet","407","420098","420097","",""
"356","vnc","948","307788","307787","",""
"357","vpn","4942","247231","247230","",""
"359","dvd","1133","252745","252744","",""
"360","cd","95","325316","325315","",""
"361","internet","3230","245056","245055","",""
"362","email","5279","245050","245049","",""
"363","sms","82","415815","415814","",""
"364","fonts","2007","267276","267275","",""
"367","png","279","327536","327535","",""
"368","gif","140","329584","329583","",""
"370","unix","3850","247199","247198","",""
"371","zip","1031","250222","250221","",""
"373","centos","3107","281711","281710","",""
"374","suse","142","747453","747452","",""
"376","debian","5335","267267","267266","",""
"377","setup","302","437147","437146","",""
"378","uninstall","886","323497","323496","",""
"380","control-panel","202","636642","636641","",""
"386","cms","29","422292","422291","",""
"387","domain","863","398120","398119","",""
"389","root","582","326367","326366","",""
"392","samba","1310","273180","273179","",""
"393","dsl","165","852635","852634","",""
"394","cable","697","398113","398112","",""
"395","isp","577","305989","305988","",""
"396","java","2270","264752","264751","",""
"398","sharepoint","285","270767","270766","",""
"399","power","1443","376086","376085","",""
"400","url","530","398058","398057","",""
"401","search","1531","309383","309382","",""
"402","crt","46","818012","818011","",""
"404","projector","132","","","",""
"407","storage","869","314802","314801","",""
"408","cooling","784","327633","327632","",""
"416","fan","978","278906","278905","",""
"417","forum","23","860051","860050","",""
"418","opengl","207","415808","415807","",""
"422","graphics","367","322900","322899","",""
"424","overclocking","282","398074","398073","",""
"430","shutdown","1436","363958","363957","",""
"434","freeze","1818","323495","323494","",""
"439","windows-7","46944","183768","182886","",""
"440","performance","4035","311072","311071","",""
"441","troubleshooting","1242","321551","321550","",""
"444","windows-vista","3228","230722","230721","",""
"449","toolbar","174","400737","400736","",""
"452","clipboard","605","457842","457841","",""
"460","script","2451","321588","321587","",""
"463","start-menu","709","254960","254959","",""
"467","blu-ray","188","245072","245071","",""
"471","taskbar","1461","267263","267262","",""
"472","device-manager","308","","","",""
"474","icons","1157","328591","328590","",""
"476","battery","1612","318237","318236","",""
"483","windows-update","1940","310288","310287","",""
"490","crash","1626","326033","326032","",""
"493","thunderbird","1750","184020","184019","",""
"494","terminal","4403","288617","288616","",""
"495","keyboard-shortcuts","4528","256569","256568","",""
"496","iphoto","111","327967","327966","",""
"499","dialog","78","276745","276744","",""
"501","sidebar","57","","","",""
"502","dock","151","648865","648864","",""
"503","repair","312","392830","392829","",""
"505","spotlight","127","328787","328786","",""
"507","defragment","287","420080","420079","",""
"508","mount","2152","311086","311085","",""
"511","bandwidth","759","326905","326904","",""
"513","gimp","516","279569","279568","",""
"516","gnome","1267","267265","267264","",""
"520","virtualbox","6869","234753","234752","",""
"521","encoding","671","342518","342517","",""
"523","ripping","138","327758","327757","",""
"524","codec","383","321119","321118","",""
"528","h.264","269","318480","318479","",""
"529","ogg","52","247339","247338","",""
"530","media-center","64","454711","454710","",""
"531","screensaver","352","392931","392930","",""
"532","ntfs","1918","287187","287186","",""
"533","sound-card","539","458868","458867","",""
"535","tablet","319","407727","407726","",""
"536","netbook","344","278897","278896","",""
"540","screenshot","399","400795","400794","",""
"541","sudo","1020","310280","310279","",""
"542","hfs","77","","","",""
"544","winsxs","49","417736","417735","",""
"545","disk-space","847","502976","502975","",""
"546","camtasia","29","","","",""
"548","privileges","267","746930","746929","",""
"549","elevation","56","1158203","1158202","",""
"550","uac","712","326281","326280","",""
"552","iphone","868","230636","230635","",""
"553","pdf","3371","247237","247236","",""
"555","apache-http-server","3102","252816","252815","",""
"558","file-management","1204","321592","321591","",""
"560","chat","170","937859","937858","",""
"562","file-sharing","776","327241","327240","",""
"564","services","969","351005","351004","",""
"566","standby","139","","","",""
"570","push","35","","","",""
"572","linux-distributions","223","327088","327087","",""
"576","nas","1531","313303","313302","",""
"579","hibernate","931","318727","318726","",""
"581","music","493","327561","327560","",""
"585","viewer","75","639837","639836","",""
"587","cpu-usage","755","428751","428750","",""
"588","microphone","770","398070","398069","",""
"589","conky","45","327588","327587","",""
"590","user-accounts","1554","326039","326038","",""
"591","home-server","290","393655","393654","",""
"594","iso-image","1053","363956","363955","",""
"595","bin-cue-image","7","","","",""
"597","bsod","1685","282859","282858","",""
"599","wireless-networking","13729","244741","244740","",""
"606","send-to","40","1023169","1023168","",""
"607","sleep","1553","318218","318217","",""
