Id,TagName,Count,ExcerptPostId,WikiPostId,IsModeratorOnly,IsRequired
"1","unix","8","1903","1902","",""
"2","storage","368","373107","373106","",""
"3","distros","174","3699","3698","",""
"4","linux","31766","1901","1900","",""
"5","startup","692","9895","9894","",""
"6","shutdown","447","102712","102711","",""
"7","command-line","5434","2003","2002","",""
"10","osx","1925","7996","7995","",""
"11","ls","1189","5558","5557","",""
"13","performance","889","177453","177452","",""
"14","shell","10483","5284","5283","",""
"15","freebsd","1532","8013","8012","",""
"16","networking","6555","7984","7983","",""
"19","filesystems","3394","8003","8002","",""
"20","compiling","1392","8033","8032","",""
"21","fhs","106","3872","3871","",""
"22","less","346","8074","8073","",""
"25","streaming","155","","","",""
"26","wifi","2273","92374","92373","",""
"27","wpa-supplicant","253","311955","311954","",""
"28","security","2345","8025","8024","",""
"29","raid","658","29533","29532","",""
"30","size","203","","","",""
"32","grep","4304","8019","8018","",""
"33","colors","763","10052","10051","",""
"35","scripting","3902","18954","18953","",""
"36","semaphore","21","","","",""
"37","bash","20946","1951","1950","",""
"38","yum","1466","8009","8008","",""
"39","fedora","3725","7988","7987","",""
"40","cpu","731","106878","106877","",""
"41","process","2290","5532","5531","",""
"43","grub","1192","8064","8063","",""
"44","dual-boot","1398","8317","8316","",""
"45","kvm","854","12413","12412","",""
"47","chroot","516","45357","45356","",""
"48","vim","1673","5627","5626","",""
"49","programming","175","18961","18960","",""
"50","man","544","8321","8320","",""
"51","pager","75","","","",""
"52","suse","262","179689","179688","",""
"54","rpm","929","8086","8085","",""
"55","packaging","288","238422","238421","",""
"56","users","1379","18437","18436","",""
"57","password","1073","32234","32233","",""
"58","login","1145","72898","72897","",""
"60","c","705","8072","8071","",""
"61","termcap","27","338140","338139","",""
"62","duplicate","78","421145","421144","",""
"63","install","56","7994","7993","",""
"65","books","21","389800","389799","",""
"70","active-directory","210","","","",""
"73","source","294","33078","33077","",""
"75","ide","59","8172","8171","",""
"76","prompt","582","33088","33087","",""
"77","ftp","563","30802","30801","",""
"78","root","1025","7971","7970","",""
"79","user-default","9","","","",""
"80","mono","127","8309","8308","",""
"84","drivers","1909","8038","8037","",""
"85","boot","2885","8188","8187","",""
"86","software-raid","282","","","",""
"87","zfs","453","8184","8183","",""
"89","ssh","6781","5288","5287","",""
"90","scp","644","7977","7976","",""
"91","sftp","549","38900","38899","",""
"92","64bit","198","121265","121264","",""
"94","ldap","340","75876","75875","",""
"95","authentication","538","141085","141084","",""
"96","pam","553","50686","50685","",""
"97","partition","2321","8166","8165","",""
"99","cron","2008","8029","8028","",""
"100","scheduling","353","40763","40762","",""
"101","logs","1675","19036","19035","",""
"102","debugging","399","121276","121275","",""
"103","memory-leaks","56","","","",""
"104","kill","596","8199","8198","",""
"107","desktop","402","36601","36600","",""
"108","system-programming","45","56702","56701","",""
"109","firewall","863","33090","33089","",""
"110","aptitude","232","87085","87084","",""
"112","ubuntu","10741","3697","3696","",""
"113","opensuse","932","8147","8146","",""
"114","rhel","3388","8084","8083","",""
"116",".net","32","8023","8022","",""
"117","asp.net","13","","","",""
"122","gnome","1912","7986","7985","",""
"123","fastcgi","22","","","",""
"124","solaris","1140","8021","8020","",""
"127","opensource-projects","39","30049","30048","",""
"129","window-manager","520","8017","8016","",""
"131","private-network","24","","","",""
"132","routing","918","92372","92371","",""
"133","url","119","244886","244885","",""
"134","kde","1381","4716","4715","",""
"135","file-server","88","40300","40299","",""
"137","ip","978","91860","91859","",""
"139","kernel","2976","5483","5482","",""
"140","jails","88","","","",""
"143","setuid","172","","","",""
"144","arch-linux","3949","1955","1954","",""
"146","settings","157","219620","219619","",""
"148","xorg","1818","1949","1948","",""
"149","keyboard-shortcuts","1439","43767","43766","",""
"150","migration","98","371596","371595","",""
"151","acl","338","8706","8705","",""
"152","tar","1077","8209","8208","",""
"153","backup","1186","40795","40794","",""
"154","pci","168","83392","83391","",""
"156","appearance","37","","","",""
"157","openbox","247","50421","50420","",""
"158","permissions","3809","8134","8133","",""
"160","learning","32","49374","49373","",""
"162","memory","1263","7979","7978","",""
"163","monitoring","683","33431","33430","",""
"164","munin","26","31101","31100","",""
"165","development","128","","","",""
"168","virtual-machine","1249","30464","30463","",""
"170","editors","292","8011","8010","",""
"171","subversion","169","8090","8089","",""
"173","io","534","68708","68707","",""
"174","autologin","69","","","",""
"181","logrotate","234","179708","179707","",""
"182","display-settings","165","","","",""
"184","download","260","","","",""
"185","software-rec","382","5534","5533","",""
"187","c#","29","36674","36673","",""
"190","gnu-screen","857","7969","7968","",""
"191","media","67","","","",""
"193","http-logging","8","","","",""
"194","http-proxy","131","","","",""
"196","cache","409","181658","181657","",""
"198","defaults","101","","","",""
"200","remote","580","61176","61175","",""
"201","opengl","149","435777","435776","",""
"202","embedded","684","8319","8318","",""
"203","vnc","475","8096","8095","",""
"204","ksh","748","9849","9848","",""
"205","tcsh","268","73075","73074","",""
"206","command-history","665","11529","11528","",""
"208","zsh","2239","1940","1939","",""
"209","ocr","27","306121","306120","",""
"211","documents","22","","","",""
"212","terminal-multiplexer","47","66566","66565","",""
"213","bsd","232","71558","71557","",""
"215","top","421","8190","8189","",""
"216","lynx","55","20178","20177","",""
"217","dns","1222","30804","30803","",""
"218","dhcp","572","9440","9439","",""
"219","remote-management","70","","","",""
"220","version","220","82036","82035","",""
"221","administration","200","306217","306216","",""
"222","bsd-ports","66","14138","14137","",""
"223","make","820","19000","18999","",""
"224","usb","1757","8061","8060","",""
"225","boot-loader","610","87100","87099","",""
"227","iso","361","58047","58046","",""
"232","compiler","81","","","",""
"233","xml","351","71485","71484","",""
"234","umask","161","84683","84682","",""
"236","gui","533","7982","7981","",""
"238","support-cycle","8","","","",""
"239","terminal-emulator","242","198216","198215","",""
"240","terminal","3564","5527","5526","",""
"241","directory","1583","8007","8006","",""
"242","slash","36","","","",""
"245","pipe","1577","20761","20760","",""
"246","diff","453","8070","8069","",""
"248","gentoo","585","12426","12425","",""
"249","arm","461","38895","38894","",""
"250","hardware","684","9897","9896","",""
"251","debian","12600","2853","2852","",""
"252","encryption","752","56737","56736","",""
"253","keyboard","1076","63522","63521","",""
"254","emacs","568","8082","8081","",""
"257","iptables","2265","8036","8035","",""
"259","character-encoding","352","194523","194522","",""
"260","tmux","1125","7973","7972","",""
"261","konsole","142","252600","252599","",""
"264","su","479","8066","8065","",""
"265","sudo","2070","8027","8026","",""
"266","proxy","560","120932","120931","",""
"268","sed","6119","8088","8087","",""
"270","configuration","1328","32943","32942","",""
"271","desktop-environment","466","163830","163829","",""
"272","documentation","203","96417","96416","",""
"273","cygwin","340","8174","8173","",""
"274","file-sharing","147","","","",""
"275","libraries","500","56758","56757","",""
"277","alsa","656","19031","19030","",""
"279","standard","83","","","",""
"280","find","2995","1953","1952","",""
"282","laptop","366","18984","18983","",""
"283","compatibility","80","484102","484101","",""
"285","udev","887","79907","79906","",""
"286","automounting","389","80628","80627","",""
"289","broadcom","143","312216","312215","",""
"290","headless","98","230232","230231","",""
"291","compiz","65","8176","8175","",""
"293","signals","524","7992","7991","",""
"294","large-files","81","","","",""
"295","ssd","447","75860","75859","",""
"296","hp-ux","145","15394","15393","",""
"297","zip","463","36654","36653","",""
"298","hardware-compatibility","88","","","",""
"299","chmod","514","43771","43770","",""
"300","selinux","488","31198","31197","",""
"301","grsecurity","33","147837","147836","",""
"303","xbmc","24","435423","435422","",""
"304","mplayer","113","36620","36619","",""
"305","screensaver","115","","","",""
"306","archive","196","199794","199793","",""
"307","compression","335","233230","233229","",""
"308","susestudio","7","","","",""
"310","ps","550","15428","15427","",""
"312","gcc","630","33422","33421","",""
"313","dvd","137","134715","134714","",""
"316","io-redirection","1300","72274","72273","",""
"317","printing","469","61526","61525","",""
"319","opensolaris","36","","","",""
"320","oracle-database","97","38358","38357","",""
"324","sleep","144","172030","172029","",""
"326","ext4","758","36607","36606","",""
"327","options","247","189840","189839","",""
"328","mdadm","459","62691","62690","",""
"329","smtp","264","159158","159157","",""
"331","email","1212","1942","1941","",""
"333","lightweight","39","","","",""
"336","d-bus","269","264837","264836","",""
"337","syslog-ng","70","279405","279404","",""
"338","dpkg","656","75858","75857","",""
"339","more","29","356022","356021","",""
"340","ext2","75","43591","43590","",""
"341","xfce","1031","8180","8179","",""
"343","array","531","120942","120941","",""
"346","sendmail","311","60021","60020","",""
"347","hostname","328","8213","8212","",""
"348","xterm","372","36603","36602","",""
"350","centos","7563","8005","8004","",""
"351","vlc","188","134717","134716","",""
"352","boot-menu","9","","","",""
"353","chrome","617","64940","64939","",""
"354","power-management","476","115182","115181","",""
"355","dpms","34","","","",""
"356","path","855","43765","43764","",""
"357","patch","199","96621","96620","",""
"360","dash","136","132473","132472","",""
"361","real-time","122","","","",""
"365","firefox","643","36596","36595","",""
"366","nfs","898","14617","14616","",""
"368","samba","929","8151","8150","",""
"369","kile","7","","","",""
"370","kate","65","15598","15597","",""
"371","gnu","323","36647","36646","",""
"373","kernel-panic","204","561085","561084","",""
"376","ffmpeg","531","34371","34370","",""
"377","video-editing","66","","","",""
"378","youtube","53","","","",""
"379","ncurses","101","75878","75877","",""
"381","strip","12","","","",""
"382","java","780","16218","16217","",""
"384","games","109","","","",""
"385","modem","187","179711","179710","",""
"387","xargs","576","79127","79126","",""
"388","putty","288","8094","8093","",""
"389","emulation","45","","","",""
"390","windows","1785","5315","5314","",""
"393","conventions","51","479888","479887","",""
"397","parameter","196","","","",""
"398","suspend","398","172032","172031","",""
"399","system-calls","288","159233","159232","",""
"401","hard-link","220","73326","73325","",""
"403","git","836","15806","15805","",""
"408","awk","6690","8092","8091","",""
"410","free-software","58","18439","18438","",""
"412","xforwarding","83","","","",""
"413","version-control","70","18998","18997","",""
"415","mount","2899","8144","8143","",""
"416","firmware","241","311367","311366","",""
"417","bios","297","55698","55697","",""
"419","input","281","","","",""
"421","init-script","311","49695","49694","",""
"423","file-command","40","1945","1944","",""
"424","video","572","115146","115145","",""
"425","nautilus","274","36782","36781","",""
